,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2001-2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence in,2001 IRS Residence,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 IRS Residence in Aleutians East Borough,,990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,,"1,166"
2002 IRS Residence in Aleutians West Census Area,,-,"2,659",29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,291,,"3,053"
2002 IRS Residence in Anchorage Municipality,,42,63,"190,717",157,28,27,73,671,-,278,572,157,243,51,871,133,131,124,29,-,32,226,75,-,67,"13,246",,"208,043"
2002 IRS Residence in Bethel Census Area,,-,-,93,"11,251",-,-,-,26,-,-,21,-,-,-,24,-,-,-,-,-,-,-,55,-,-,268,,"11,816"
2002 IRS Residence in Bristol Bay Borough,,-,-,-,-,879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,,967
2002 IRS Residence in Denali Borough,,-,-,36,-,-,"1,413",-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,,"1,645"
2002 IRS Residence in Dillingham Census Area,,-,-,52,-,-,-,"3,185",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,,"3,437"
2002 IRS Residence in Fairbanks North Star Borough,,-,-,381,24,-,30,23,"62,093",-,54,103,18,18,-,93,35,51,39,15,-,89,52,-,-,160,"6,869",,"70,219"
2002 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,719",18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,,"1,883"
2002 IRS Residence in Juneau City and Borough,,-,-,119,-,-,-,-,37,23,"22,823",23,165,31,-,24,-,-,-,64,64,-,-,-,-,-,"1,076",,"24,536"
2002 IRS Residence in Kenai Peninsula Borough,,-,-,587,25,-,-,-,66,-,23,"36,271",20,40,-,137,16,24,31,33,-,-,36,-,-,-,"1,764",,"39,228"
"2002 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,21,-,-,-,-,22,-,55,-,"18,154",-,-,-,-,-,-,-,-,-,-,-,-,-,846,,"19,302"
