,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2004-2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence in,2004 IRS Residence,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2005,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 IRS Residence in Aleutians East Borough,,"1,065",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,,"1,262",,
2005 IRS Residence in Aleutians West Census Area,,-,"2,923",37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285,,"3,293",,
2005 IRS Residence in Anchorage Municipality,,35,85,"199,746",225,-,26,94,505,-,166,488,122,238,31,"1,008",150,101,117,58,13,48,173,73,-,73,"12,488",,"216,084",,
2005 IRS Residence in Bethel Census Area,,-,-,124,"12,226",-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,204,,"12,740",,
2005 IRS Residence in Bristol Bay Borough,,-,-,13,-,884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,984,,
2005 IRS Residence in Denali Borough,,-,-,-,-,-,"1,455",-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,,"1,664",,
2005 IRS Residence in Dillingham Census Area,,-,-,60,-,-,-,"3,322",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,,"3,537",,
2005 IRS Residence in Fairbanks North Star Borough,,-,-,363,41,-,79,-,"66,510",-,37,104,-,25,-,132,-,60,24,-,-,85,38,48,-,180,"5,911",,"73,752",,
