,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2005-2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence in,2005 IRS Residence,,,,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Juneau City and Borough,Kenai Peninsula Borough,"Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Sitka City and Borough,Skagway Municipality or Hoonah-Angoon Census Area,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2006,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 IRS Residence in Aleutians East Borough,,"1,058",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,,"1,212",,,,,
2006 IRS Residence in Aleutians West Census Area,,-,"2,751",34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306,,"3,136",,,,,
2006 IRS Residence in Anchorage Municipality,,30,80,"198,549",243,21,27,92,634,-,187,527,61,210,33,966,173,158,97,49,13,64,158,108,-,33,"14,731",,"217,300",,,,,
2006 IRS Residence in Bethel Census Area,,-,-,137,"12,246",-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,,"12,765",,,,,
2006 IRS Residence in Bristol Bay Borough,,-,-,-,-,830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,911,,,,,
2006 IRS Residence in Denali Borough,,-,-,16,-,-,"1,442",-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,,"1,666",,,,,
2006 IRS Residence in Dillingham Census Area,,-,-,57,-,-,-,"3,317",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,,"3,546",,,,,
2006 IRS Residence in Fairbanks North Star Borough,,-,-,435,29,-,41,-,"65,434",-,53,107,-,41,-,122,14,54,-,22,-,113,57,28,-,203,"5,382",,"72,239",,,,,
2006 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,686",20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,,"1,849",,,,,
2006 IRS Residence in Juneau City and Borough,,-,-,95,-,-,-,-,53,25,"23,266",29,94,-,-,33,-,-,-,58,36,-,-,-,-,-,"1,036",,"24,794",,,,,
2006 IRS Residence in Kenai Peninsula Borough,,-,-,603,39,-,-,-,111,-,48,"36,997",-,30,-,109,19,-,-,-,-,-,29,-,-,-,"1,693",,"39,848",,,,,
"2006 IRS Residence in Ketchikan Gateway Borough, Prince of Wales-Hyder Census Area, Petersburg Census Area, or Wrangell City and Borough",,-,-,49,-,-,-,-,-,-,102,-,"17,907",-,-,-,-,-,-,-,-,-,-,-,-,-,934,,"19,222",,,,,
2006 IRS Residence in Kodiak Island Borough,,-,-,76,-,-,-,-,-,-,-,-,-,"10,263",-,-,-,-,-,-,-,-,-,-,-,-,861,,"11,300",,,,,
2006 IRS Residence in Lake and Peninsula Borough,,-,-,25,-,-,-,-,-,-,-,-,-,-,"1,051",-,-,-,-,-,-,-,-,-,-,-,27,,"1,115",,,,,
2006 IRS Residence in Matanuska-Susitna Borough,,-,28,"2,750",86,-,-,-,144,-,73,171,-,43,-,"52,639",-,24,25,-,-,38,65,28,-,-,"2,641",,"58,894",,,,,
2006 IRS Residence in Nome Census Area,,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,"6,342",-,-,-,-,-,-,-,-,-,94,,"6,582",,,,,
2006 IRS Residence in North Slope Borough,,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,740",-,-,-,-,-,-,-,-,101,,"4,949",,,,,
2006 IRS Residence in Northwest Arctic Borough,,-,-,75,-,-,-,-,22,-,-,-,-,-,-,-,-,-,"4,580",-,-,-,-,-,-,-,85,,"4,849",,,,,
2006 IRS Residence in Sitka City and Borough,,-,-,26,-,-,-,-,-,-,59,-,28,-,-,-,-,-,-,"6,616",-,-,-,-,-,-,383,,"7,224",,,,,
2006 IRS Residence in Skagway Municipality or Hoonah-Angoon Census Area,,-,-,14,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,"2,226",-,-,-,-,-,106,,"2,395",,,,,
2006 IRS Residence in Southeast Fairbanks Census Area,,-,-,65,-,-,-,-,115,-,-,-,-,-,-,-,-,-,-,-,-,"5,140",-,-,-,-,460,,"5,841",,,,,
2006 IRS Residence in Valdez-Cordova Census Area,,-,-,97,-,-,-,-,44,-,-,30,-,-,-,39,-,-,-,-,-,26,"7,306",-,-,-,397,,"8,007",,,,,
2006 IRS Residence in Wade Hampton Census Area,,-,-,34,74,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,242",-,-,72,,"5,498",,,,,
2006 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368,-,-,,391,,,,,
2006 IRS Residence in Yukon-Koyukuk Census Area,,-,-,33,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,960",80,,"4,212",,,,,
2006 IRS Residence Out of State,,158,423,"14,149",225,-,105,101,"7,216",76,"1,321","1,623","1,035",883,13,"2,064",180,150,101,467,107,217,462,53,-,125,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2005,,"1,281","3,339","217,459","13,017",963,"1,652","3,597","74,023","1,832","25,198","39,649","19,372","11,524","1,147","56,126","6,795","5,185","4,902","7,294","2,429","5,626","8,125","5,570",410,"4,424",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to changes in borough and census area boundaries, some areas are combined. All numbers based on 2010 Census geography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
