,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2008-2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence in,2008 IRS Residence,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Wrangell City and Borough and Petersburg Census Area,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2009,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 IRS Residence in Aleutians East Borough,,"1,153",-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,,1367,,
2009 IRS Residence in Aleutians West Census Area,,-,"2,849",48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346,,3281,,
2009 IRS Residence in Anchorage Municipality,,33,70,"209,242",250,18,18,94,653,-,20,216,582,54,193,51,"1,311",145,137,140,19,48,-,81,176,129,17,-,61,"15,849",,229638,,
2009 IRS Residence in Bethel Census Area,,-,-,114,"12,391",-,-,-,26,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,74,-,-,-,220,,12881,,
2009 IRS Residence in Bristol Bay Borough,,-,-,13,-,751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,825,,
2009 IRS Residence in Denali Borough,,-,-,24,-,-,"1,548",-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,,1721,,
2009 IRS Residence in Dillingham Census Area,,-,-,52,36,-,-,"3,468",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,,3685,,
2009 IRS Residence in Fairbanks North Star Borough,,-,-,390,13,-,51,-,"68,688",-,-,89,60,-,-,-,140,22,45,18,-,-,-,-,35,-,-,-,187,"5,782",,75686,,
2009 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,756",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104,,1923,,
2009 IRS Residence in Hoonah-Angoon Census Area,,-,-,-,-,-,-,-,-,-,"1,368",31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,,1458,,
2009 IRS Residence in Juneau City and Borough,,-,-,154,-,-,-,-,38,18,42,"22,686",50,59,-,-,-,-,-,-,-,44,-,-,-,-,18,-,-,"1,026",,24262,,
2009 IRS Residence in Kenai Peninsula Borough,,-,-,559,39,29,-,-,70,-,-,21,"40,230",-,-,-,155,-,-,-,-,-,-,-,-,-,-,-,-,"1,786",,43087,,
2009 IRS Residence in Ketchikan Gateway Borough,,-,-,18,-,-,-,-,18,-,-,31,-,"9,975",-,-,-,-,-,-,54,-,-,-,-,-,23,-,-,591,,10754,,
2009 IRS Residence in Kodiak Island Borough,,-,-,92,31,-,-,-,-,-,-,-,13,-,"10,432",-,23,-,-,-,-,-,-,-,-,-,-,-,-,"1,023",,11696,,
2009 IRS Residence in Lake and Peninsula Borough,,-,-,24,-,-,-,-,-,-,-,-,-,-,-,"1,058",-,-,-,-,-,-,-,-,-,-,-,-,-,37,,1151,,
2009 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,073",49,-,-,-,197,-,-,57,154,-,18,-,"61,695",22,34,30,-,-,-,33,71,-,-,-,-,"2,965",,67569,,
2009 IRS Residence in Nome Census Area,,-,-,64,-,-,-,-,19,-,-,-,-,-,-,-,-,"6,145",-,23,-,-,-,-,-,-,-,-,-,146,,6481,,
2009 IRS Residence in North Slope Borough,,-,-,71,-,-,-,-,54,-,-,-,-,-,-,-,-,-,"4,675",-,-,-,-,-,-,-,-,-,-,160,,5003,,
