,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2009-2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence in,2009 IRS Residence,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wade Hampton Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2010,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 IRS Residence in Aleutians East Borough,,"1,174",-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,,"1,399",,
2010 IRS Residence in Aleutians West Census Area,,-,"2,918",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,,"3,236",,
2010 IRS Residence in Anchorage Municipality,,25,92,"212,902",222,-,21,53,561,-,-,183,508,49,173,42,"1,233",110,98,121,-,25,29,-,63,149,103,-,-,44,"14,558",,"231,399",,
2010 IRS Residence in Bethel Census Area,,-,-,136,"12,290",-,-,-,22,-,-,-,20,-,-,-,27,-,-,-,-,-,-,-,-,-,73,-,-,-,212,,"12,847",,
2010 IRS Residence in Bristol Bay Borough,,-,-,-,-,704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,794,,
2010 IRS Residence in Denali Borough,,-,-,13,-,-,"1,547",-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,,"1,727",,
2010 IRS Residence in Dillingham Census Area,,-,-,64,-,-,-,"3,462",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,,"3,700",,
2010 IRS Residence in Fairbanks North Star Borough,,-,-,364,49,-,39,-,"67,932",-,-,50,68,-,-,-,164,25,29,28,-,-,-,-,121,41,41,-,-,100,"7,582",,"76,716",,
2010 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,692",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,,"1,811",,
2010 IRS Residence in Hoonah-Angoon Census Area,,-,-,18,-,-,-,-,-,-,"1,308",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,,"1,424",,
2010 IRS Residence in Juneau City and Borough,,-,-,146,-,-,-,-,54,-,35,"22,854",19,44,-,-,20,-,-,-,10,-,43,-,-,-,-,-,-,-,"1,275",,"24,586",,
2010 IRS Residence in Kenai Peninsula Borough,,-,-,528,36,-,-,-,72,-,-,31,"40,225",21,41,-,169,-,-,-,-,-,-,-,-,26,-,-,-,-,"1,603",,"42,847",,
2010 IRS Residence in Ketchikan Gateway Borough,,-,-,28,-,-,-,-,-,-,-,40,-,"9,871",-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,657,,"10,704",,
2010 IRS Residence in Kodiak Island Borough,,-,-,93,-,-,-,-,-,-,-,-,-,-,"10,419",-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,893,,"11,542",,
2010 IRS Residence in Lake and Peninsula Borough,,-,-,32,-,-,-,-,-,-,-,-,-,-,-,"1,073",-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,,"1,169",,
2010 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,259",38,-,15,-,143,-,-,46,196,-,31,-,"63,008",-,27,45,-,-,-,-,51,54,24,-,-,-,"2,794",,"68,849",,
2010 IRS Residence in Nome Census Area,,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,256",-,18,-,-,-,-,-,-,-,-,-,-,187,,"6,616",,
2010 IRS Residence in North Slope Borough,,-,-,65,-,-,-,-,47,-,-,-,-,-,-,-,-,-,"4,866",-,-,-,-,-,-,-,-,-,-,-,155,,"5,208",,
2010 IRS Residence in Northwest Arctic Borough,,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,504",-,-,-,-,-,-,-,-,-,-,121,,"4,764",,
2011 IRS Residence in Petersburg Census Area,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,705",-,-,-,-,-,-,-,-,-,144,,"2,890",,
2010 IRS Residence in Prince of Wales-Hyder Census Area,,-,-,19,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,"3,272",-,-,-,-,-,-,-,-,174,,"3,556",,
