,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2012-2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,2012 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Kusilvak Census Area,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2013,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 IRS Residence in Aleutians East Borough,,"1,266",-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,,"1,418",,
2013 IRS Residence in Aleutians West Census Area,,-,"3,214",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284,,"3,538",,
2013 IRS Residence in Anchorage Municipality,,32,54,"227,977",170,20,28,58,658,-,-,198,536,42,186,58,38,"1,476",127,110,155,-,-,45,-,58,177,-,-,51,"15,565",,"248,540",,
2013 IRS Residence in Bethel Census Area,,-,-,144,"12,617",-,-,28,26,-,-,-,-,-,-,56,-,23,-,-,-,-,-,-,-,-,-,-,-,-,214,,"13,314",,
2013 IRS Residence in Bristol Bay Borough,,-,-,,-,696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,801,,
2013 IRS Residence in Denali Borough,,-,-,12,-,-,"1,641",-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,,"1,825",,
2013 IRS Residence in Dillingham Census Area,,-,-,62,-,-,-,"3,648",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,,"3,870",,
2013 IRS Residence in Fairbanks North Star Borough,,-,-,346,28,-,41,-,"70,863",-,-,52,74,-,-,-,-,101,29,48,22,-,-,-,-,101,40,-,-,189,"6,963",,"79,284",,
2013 IRS Residence in Haines Borough,,-,-,-,-,-,-,-,-,"1,915",-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,,"2,031",,
2013 IRS Residence in Hoonah-Angoon Census Area,,-,-,-,-,-,-,-,-,-,"1,505",37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,,"1,612",,
2013 IRS Residence in Juneau City and Borough,,-,-,135,-,-,-,-,50,17,44,"24,972",17,28,-,-,-,43,-,-,-,25,-,59,-,-,-,-,-,-,"1,279",,"26,881",,
2013 IRS Residence in Kenai Peninsula Borough,,-,-,644,38,-,-,-,93,-,-,23,"44,395",-,47,-,-,209,-,-,-,-,-,-,-,-,44,-,-,-,"1,908",,"47,613",,
2013 IRS Residence in Ketchikan Gateway Borough,,-,-,30,-,-,-,-,-,-,-,36,-,"10,673",-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,669,,"11,581",,
2013 IRS Residence in Kodiak Island Borough,,-,-,87,-,-,-,-,-,-,-,-,-,-,"11,415",-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,962,,"12,547",,
2013 IRS Residence in Kusilvak Census Area,,-,-,62,51,-,-,-,-,-,-,-,-,-,-,"5,685",-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,,"5,886",,
2013 IRS Residence in Lake and Peninsula Borough,,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,"1,175",-,-,-,-,-,-,-,-,-,-,-,-,-,42,,"1,278",,
2013 IRS Residence in Matanuska-Susitna Borough,,-,-,"2,483",57,-,25,-,235,-,-,66,217,-,52,-,-,"70,912",49,-,35,-,-,-,-,78,94,-,-,-,"2,792",,"77,322",,
2013 IRS Residence in Nome Census Area,,-,-,83,-,-,-,-,-,-,-,-,23,-,-,-,-,-,"6,630",-,-,-,-,-,-,-,-,-,-,-,153,,"6,961",,
2013 IRS Residence in North Slope Borough,,-,-,112,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,"5,253",-,-,-,-,-,-,-,-,-,-,167,,"5,620",,
2013 IRS Residence in Northwest Arctic Borough,,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,23,15,-,"4,719",-,-,-,-,-,-,-,-,-,128,,"5,004",,
2013 IRS Residence in Petersburg Census Area,,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,"2,974",-,-,-,-,-,-,-,-,92,,"3,125",,
2013 IRS Residence in Prince of Wales-Hyder Census Area,,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,"3,675",-,-,-,-,-,-,-,196,,"4,005",,
2013 IRS Residence in Sitka City and Borough,,-,-,28,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,"6,752",-,-,-,-,-,-,457,,"7,365",,
2013 IRS Residence in Skagway Municipality,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814,-,-,-,-,-,87,,930,,
2013 IRS Residence in Southeast Fairbanks Census Area,,-,-,22,-,-,-,-,107,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,"5,778",-,-,-,-,332,,"6,350",,
2013 IRS Residence in Valdez-Cordova Census Area,,-,-,149,-,-,-,-,37,-,-,-,38,-,-,-,-,44,-,-,-,-,-,-,-,-,"7,533",-,-,-,394,,"8,324",,
2013 IRS Residence in Wrangell City and Borough ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,609",-,-,65,,"1,726",,
2013 IRS Residence in Yakutat City and Borough,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391,-,-,,391,,
2013 IRS Residence in Yukon-Koyukuk Census Area,,-,-,38,-,-,-,-,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,933",83,,"4,212",,
2013 IRS Residence Out of State,,151,429,"19,325",257,44,144,72,"9,260",61,46,"1,677","2,189",691,"1,105",21,36,"3,714",201,145,123,152,161,509,71,411,511,50,-,94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2012,,"1,494","3,733","252,611","13,262",805,"1,907","3,858","81,915","2,019","1,631","27,322","47,638","11,592","12,906","5,906","1,299","76,818","7,097","5,613","5,123","3,208","3,930","7,450",907,"6,464","8,454","1,710",420,"4,314",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All numbers based on 2010 Census geography. Kusilvak Census Area is the former Wade Hampton Census Area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
