,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Borough or Census Area of Residence for Internal Revenue Service (IRS) exemptions, 2014-2015*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,2014 IRS Residence in,,,,
Boroughs and Census Areas,,Aleutians East Borough,Aleutians West Census Area,Anchorage Municipality,Bethel Census Area,Bristol Bay Borough,Denali Borough,Dillingham Census Area,Fairbanks North Star Borough,Haines Borough,Hoonah-Angoon Census Area,Juneau City and Borough,Kenai Peninsula Borough,Ketchikan Gateway Borough,Kodiak Island Borough,Kusilvak Census Area,Lake and Peninsula Borough,Matanuska-Susitna Borough,Nome Census Area,North Slope Borough,Northwest Arctic Borough,Petersburg Census Area,Prince of Wales-Hyder Census Area,Sitka City and Borough,Skagway Municipality,Southeast Fairbanks Census Area,Valdez-Cordova Census Area,Wrangell City and Borough ,Yakutat City and Borough,Yukon-Koyukuk Census Area,Out of State,,Total Matched Individuals in 2015,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 IRS Residence in Aleutians East Borough,,"1,256",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77,,"1,367",,
2015 IRS Residence in Aleutians West Census Area,,–,"3,257",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,241,,"3,546",,
2015 IRS Residence in Anchorage Municipality,,–,63,"233,894",133,–,–,61,483,–,–,147,441,44,133,86,45,"1,141",89,107,105,–,–,–,–,53,123,–,–,40,"10,000",,"248,319",,
2015 IRS Residence in Bethel Census Area,,–,–,106,"12,755",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,150,,"13,138",,
2015 IRS Residence in Bristol Bay Borough,,–,–,–,–,631,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33,,664,,
2015 IRS Residence in Denali Borough,,–,–,–,–,–,"1,628",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,63,,"1,758",,
2015 IRS Residence in Dillingham Census Area,,–,–,34,–,–,–,"3,713",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,58,,"3,871",,
2015 IRS Residence in Fairbanks North Star Borough,,–,–,267,–,–,–,–,"73,711",–,–,–,60,–,–,–,–,100,–,–,–,–,–,–,–,87,–,–,–,84,"4,734",,"79,579",,
2015 IRS Residence in Haines Borough,,–,–,–,–,–,–,–,–,"1,855",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38,,"1,927",,
2015 IRS Residence in Hoonah-Angoon Census Area,,–,–,–,–,–,–,–,–,–,"1,544",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42,,"1,589",,
2015 IRS Residence in Juneau City and Borough,,–,–,122,–,–,–,–,32,–,36,"25,552",–,36,–,–,–,–,–,–,–,44,–,27,–,–,–,–,–,–,742,,"26,708",,
2015 IRS Residence in Kenai Peninsula Borough,,–,–,437,–,–,–,–,74,–,–,–,"45,153",–,–,–,–,154,–,–,–,–,–,–,–,–,–,–,–,–,"1,396",,"47,472",,
2015 IRS Residence in Ketchikan Gateway Borough,,–,–,–,–,–,–,–,–,–,–,–,–,"10,855",–,–,–,–,–,–,–,–,42,–,–,–,–,–,–,–,354,,"11,357",,
2015 IRS Residence in Kodiak Island Borough,,–,–,71,–,–, 	- 0,–,–,–,–,–,–,–,"11,643", 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,527,,"12,338",,
2015 IRS Residence in Kusilvak Census Area,,–,–,48,58,–, 	- 0,–,–,–,–,–,–,–,–,"5,764",–,–,–,–,–,–,–,–,–,–,–,–,–,–,35,,"5,923",,
2015 IRS Residence in Lake and Peninsula Borough,,–,–,–,–,–, 	- 0,–,–,–,–,–,–,–,–,–,"1,086",–,–,–,–,–,–,–,–,–,–,–,–,–,–,,"1,143",,
2015 IRS Residence in Matanuska-Susitna Borough,,–,–,"2,042",37,–, 	- 0,–,156,–,–,–,194,–,–,–,–,"74,220",–,–,–,–,–,–,–,69,50,–,–,–,"2,016",,"79,111",,
2015 IRS Residence in Nome Census Area,,–,–,79,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,"6,617",–,–,–,–,–,–,–,–,–,–,–,71,,"6,829",,
2015 IRS Residence in North Slope Borough,,–,–,48,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,"5,164",–,–,–,–,–,–,–,–,–,–,100,,"5,359",,
2015 IRS Residence in Northwest Arctic Borough,,–,–,62,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,"4,741",–,–,–,–,–,–,–,–,–,33,,"4,901",,
2015 IRS Residence in Petersburg Census Area,,–,–,–,–,–,–,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,"2,939",–,–,–,–,–,–,–,–,52,,"3,030",,
2015 IRS Residence in Prince of Wales-Hyder Census Area,,–,–,–,–,–,–,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,602",–,–,–,–,–,–,–,124,,"3,788",,
2015 IRS Residence in Sitka City and Borough,,–,–,–,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,878",–,–,–,–,–,–,277,,"7,268",,
2015 IRS Residence in Skagway Municipality,,–,–,–,–,–,–,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,918,–,–,–,–,–,35,,968,,
2015 IRS Residence in Southeast Fairbanks Census Area,,–,–,40,–,–,–,–,53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,824",–,–,–,–,78,,"6,028",,
2015 IRS Residence in Valdez-Cordova Census Area,,–,–,71,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"7,607",–,–,–,244,,"8,052",,
2015 IRS Residence in Wrangell City and Borough ,,–,–,–,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,578",–,–,42,,"1,668",,
2015 IRS Residence in Yakutat City and Borough,,–,–,–,–,–, 	- 0,–, 	- 0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,378,–,–,,378,,
2015 IRS Residence in Yukon-Koyukuk Census Area,,–,–,–,–,–, 	- 0,–,90,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"3,845",44,,"3,976",,
2015 IRS Residence Out of State,,170,290,"11,839",142,33,121,59,"4,835",46,25,892,"1,351",448,715,45,–,"2,120",63,118,43,76,123,282,34,88,260,49,–,55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Matched Individuals in 2014,,"1,463","3,667","249,749","13,238",714,"1,784","3,893","79,783","1,956","1,601","26,809","47,385","11,501","12,604","5,929","1,174","78,146","6,869","5,452","4,992","3,105","3,825","7,272",980,"6,137","8,138","1,627",378,"4,014",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All numbers based on IRS migration data, values of less than 10 are suppressed (more data and information is available at https://www.irs.gov/statistics/soi-tax-stats-migration-data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data will not exactly match data from the Alaska Department of Labor and Workforce Development's population estimates, and may differ significantly. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All numbers based on 2010 Census geography. Kusilvak Census Area is the former Wade Hampton Census Area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*The 2014 to 2015 IRS migration data show unusually low migration in Alaska and nationwide. The data is out of order with other years and sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: IRS Tax Statistics; Alaska Department of Labor and Workforce Development, Research and Analysis Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
